Chair Name, Cell Name, Location ID, Chair X, Chair Y, Chair Z
"Bench #1", "<no name>", "testIst", 704.000000, 480.000000, 32.000000
"Throne #1", "<no name>", "TestClara02", -2528.000000, 208.000000, -224.000000
"Throne #2", "<no name>", "TestClara02", -2528.000000, 832.000000, -222.541840
"Throne #3", "<no name>", "TestClara02", -2531.105957, -339.506165, -222.291489
"Throne #4", "<no name>", "TestClara02", -2551.051270, -845.511841, -222.324387
"Stool #1", "<no name>", "EmilTest", 1806.862793, 1951.649902, 7140.499512
"Bed #1", "<no name>", "TESTTavernTempCOPY0000", 282.502319, -63.737259, -4.596901
"Chair #1", "<no name>", "TESTTavernTempCOPY0000", 186.166779, 8.678225, -189.817856
"A Battered Stool #1", "<no name>", "TestMine", 196.684097, -288.123962, -32.000000
"Bed #1", "<no name>", "TestVampireInterior", 1584.407349, 2147.527344, 7198.985352
"Bed #2", "<no name>", "TestVampireInterior", 2355.348145, 2022.398193, 7198.003906
"A Battered Stool #1", "<no name>", "WareHouseMinesGeneric", 263.120972, 1774.069580, 2155.285645
"A Battered Stool #1", "<no name>", "WarehouseFortRuinsxxxCLUTTERarrangements", 939.228455, -2384.659668, 39.247719
"A Battered Stool #2", "<no name>", "WarehouseFortRuinsxxxCLUTTERarrangements", 992.756775, -2354.373535, 39.247719
"Bench #1", "<no name>", "TestHavokSettle", -112.776367, -751.757080, 1822.300293
"Bench #2", "<no name>", "TestHavokSettle", 859.248047, -943.672363, 1822.002441
"Chair #1", "<no name>", "TestHavokSettle", 219.034180, -292.327393, 1852.737793
"Chair #2", "<no name>", "TestHavokSettle", 223.305664, -179.124268, 1852.438477
"Chair #3", "<no name>", "TestHavokSettle", 311.874023, -395.245605, 1852.737793
"Chair #4", "<no name>", "TestHavokSettle", 340.348633, -94.706299, 1852.737793
"Chair #5", "<no name>", "TestHavokSettle", 417.202148, -311.340576, 1852.438477
"Chair #6", "<no name>", "TestHavokSettle", 425.816406, -198.385010, 1852.737793
"Stool #1", "<no name>", "TestHavokSettle", -38.921875, 205.269287, 1822.422363
"Stool #2", "<no name>", "TestHavokSettle", 674.028320, 82.885498, 1822.596191
"Stool #3", "<no name>", "TestHavokSettle", 731.250977, 189.537598, 1822.596191
"Stool #4", "<no name>", "TestHavokSettle", 835.178711, 137.719727, 1822.596191
"Stool #1", "<no name>", "WarehouseCaveGeneric", 4627.375488, 5830.390625, 6365.278320
"Stool #1", "<no name>", "WarehouseCaveNatureMythic", 8547.856445, 3234.935547, 5831.389648
"A Battered Stool #1", "<no name>", "WarehouseAyleidRooms04", 2535.675293, 3942.658447, -56.215557
"A Battered Stool #2", "<no name>", "WarehouseAyleidRooms04", 2843.775635, 2041.936768, -56.576279
"Bedroll #1", "<no name>", "WarehouseAyleidRooms04", 2979.332275, 2158.934814, -69.098984
"Bedroll #2", "<no name>", "WarehouseAyleidRooms04", 3021.872314, 3631.576416, -76.573524
"Bedroll #3", "<no name>", "WarehouseAyleidRooms04", 3054.265869, 1904.816650, -69.098984
"Bedroll #4", "<no name>", "WarehouseAyleidRooms04", 4821.929688, -1141.979370, -240.060074
"Bedroll #5", "<no name>", "WarehouseAyleidRooms04", 5030.299316, -1250.611206, -240.060074
"Bedroll #6", "<no name>", "WarehouseAyleidRooms04", 8717.468750, 2226.469482, -37.099030
"Bench #1", "<no name>", "WarehouseAyleidRooms04", 5264.227051, -1073.595947, -214.060562
"Chair #1", "<no name>", "WarehouseAyleidRooms04", 8551.511719, 1259.908081, 90.715454
"Chair #2", "<no name>", "WarehouseAyleidRooms04", 8732.868164, 1236.616821, 90.715485
"Stool #1", "<no name>", "WarehouseAyleidRooms04", 4609.463867, -1056.682251, -214.956680
"Stool #1", "<no name>", "WarehouseCaveConjurer", 8547.856445, 3234.935547, 5831.389648
"A Battered Stool #1", "<no name>", "WarehouseCaveGoblin", -4741.211426, -1313.681030, 96.149292
"A Battered Stool #2", "<no name>", "WarehouseCaveGoblin", -7509.670898, -5350.785156, -1263.139648
"A Battered Stool #3", "<no name>", "WarehouseCaveGoblin", 3067.887207, -2913.437500, -431.149567
"Bedroll #1", "<no name>", "WarehouseCaveGoblin", -4551.905273, -627.282104, 181.227951
"Bedroll #2", "<no name>", "WarehouseCaveGoblin", -7586.983398, -4988.901367, -1266.011719
"Bedroll #3", "<no name>", "WarehouseCaveGoblin", 3060.957520, -3283.423340, -445.656982
"Stool #1", "<no name>", "WarehouseCaveGoblin", -5054.754883, -5542.179688, -1264.137695
"Stool #2", "<no name>", "WarehouseCaveGoblin", 1635.856445, 866.935547, -280.611328
"Stool #1", "<no name>", "WarehouseCaveBeastLair", 8547.856445, 3234.935547, 5831.389648
"Bedroll #1", "<no name>", "WarehouseFortRuinsRoomsLARGE", 3919.999512, -3456.000488, -400.000000
"Bench #1", "<no name>", "WarehouseFortRuinsRoomsLARGE", 4307.520508, -2813.643555, -496.000000
"Stool #1", "<no name>", "WarehouseFortRuinsHALLrooms", 3541.457031, 2912.169922, -895.070618
"Stool #2", "<no name>", "WarehouseFortRuinsHALLrooms", 3936.730225, 2999.725830, -895.070618
"Bedroll #1", "<no name>", "WarehouseFortRuinsRoomsMEDIUM", -2436.684570, -843.453369, 110.826660
"Stool #1", "<no name>", "WarehouseFortRuinsRoomsMEDIUM", -2568.958740, -504.237061, 65.516968
"A Battered Stool #1", "<no name>", "TestFireSounds", 196.684097, -288.123962, -32.000000
